No,No KK,NIK,Nama Lengkap,Hubungan Keluarga,Jenis Kelamin,Tempat Lahir,Tanggal Lahir,Umur (Tahun),Agama,Status Perkawinan,Partisipasi Sekolah,Pendidikan Tertinggi,Kegiatan Utama,Lapangan Pekerjaan,Estimasi Pendapatan Bulanan (Rp),Jaminan Kesehatan,Disabilitas,Provinsi,Kabupaten/Kota,Kecamatan,Kelurahan/Desa,Alamat Domisili,Status Kepemilikan Bangunan,Luas Lantai (m2),Sumber Air Minum,Daya Listrik,Fasilitas Sanitasi
49,7371010106241015,7371012004860040,Rian Batubara,Kepala Keluarga,Laki-laki,Makassar,20/04/1986,38,Kristen Protestan,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Karyawan Swasta,13800000,BPJS PBI (Bantuan Pemerintah),Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Pahlawan No. 44, RT 010/RW 010",Milik Sendiri,90,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
50,7371010106241015,7371016509840096,Maya Simanjuntak,Istri,Perempuan,Makassar,25/09/1984,39,Kristen Protestan,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS PBI (Bantuan Pemerintah),Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Pahlawan No. 44, RT 010/RW 010",Milik Sendiri,90,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
51,7371010106241015,7371016505090030,Sri Batubara,Anak,Perempuan,Makassar,25/05/2009,15,Kristen Protestan,Belum Kawin,Masih Sekolah,SMP / Sederajat,Sekolah,Pelajar / Mahasiswa,0,BPJS PBI (Bantuan Pemerintah),Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Pahlawan No. 44, RT 010/RW 010",Milik Sendiri,90,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
52,7371010106241015,7371014711150016,Mega Batubara,Anak,Perempuan,Makassar,07/11/2015,8,Kristen Protestan,Belum Kawin,Masih Sekolah,SD / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,Tidak Memiliki,Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Pahlawan No. 44, RT 010/RW 010",Milik Sendiri,90,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
53,3201010106241016,3201011005810062,Eko Chaniago,Kepala Keluarga,Laki-laki,Bogor,10/05/1981,43,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Karyawan Swasta,5350000,Asuransi Swasta,Tidak,Jawa Barat,Kab. Bogor,Cibinong,Pabuaran,"Jl. Kenanga No. 36, RT 004/RW 004",Sewa / Kontrak,200,Air Kemasan / Isi Ulang,PLN 1300 VA,Jamban Sendiri
54,3201010106241016,3201014401780015,Endah Subagyo,Istri,Perempuan,Bogor,04/01/1978,46,Islam,Kawin,Tidak Bersekolah Lagi,Diploma (D1-D3),Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kab. Bogor,Cibinong,Pabuaran,"Jl. Kenanga No. 36, RT 004/RW 004",Sewa / Kontrak,200,Air Kemasan / Isi Ulang,PLN 1300 VA,Jamban Sendiri
55,3201010106241016,3201010801050007,Made Chaniago,Anak,Laki-laki,Bogor,08/01/2005,19,Islam,Belum Kawin,Masih Sekolah,SMA / SMK / MA,Sekolah,Pelajar / Mahasiswa,0,Asuransi Swasta,Tidak,Jawa Barat,Kab. Bogor,Cibinong,Pabuaran,"Jl. Kenanga No. 36, RT 004/RW 004",Sewa / Kontrak,200,Air Kemasan / Isi Ulang,PLN 1300 VA,Jamban Sendiri
56,3273010106241017,3273011304590058,Oki Purnomo,Kepala Keluarga,Laki-laki,Bandung,13/04/1959,65,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Pensiunan / Tidak Bekerja,Pensiunan,0,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Anggrek No. 98, RT 004/RW 002",Milik Sendiri,60,PAM / Ledeng,PLN 2200 VA+,Jamban Sendiri
57,3273010106241017,3273015801610090,Sri Lestari,Istri,Perempuan,Bandung,18/01/1961,63,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Anggrek No. 98, RT 004/RW 002",Milik Sendiri,60,PAM / Ledeng,PLN 2200 VA+,Jamban Sendiri
58,3273010106241017,3273010106180081,Hadi Purnomo,Anak,Laki-laki,Bandung,01/06/2018,6,Islam,Belum Kawin,Masih Sekolah,PAUD / TK,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Anggrek No. 98, RT 004/RW 002",Milik Sendiri,60,PAM / Ledeng,PLN 2200 VA+,Jamban Sendiri
